year,imdb,title,Director,director_gender,Writer,writer_gender,Star,star_gender,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code,Director Gender,Director Age
2009,tt0472033,9,Shane Acker,M,Pamela Pettler,F,Elijah Wood,M,nowomen,nowomen,0,30000000,31749894,48559999,2009FAIL,32571948,34471863,52723125,2,2,,
2008,tt0478087,21,Robert Luketic,M,Peter Steinfeld,M,Jim Sturgess,M,ok,ok,1,35000000,81159365,157852532,2008PASS,37878971,87835235,170836899,2,2,,
2013,tt0453562,42,Brian Helgeland,M,Brian Helgeland,M,Chadwick Boseman,M,men,men,0,40000000,95020213,95020213,2013FAIL,40000000,95020213,95020213,1,1,,
1998,tt0120577,54,Mark Christopher,M,Mark Christopher,M,Ryan Phillippe,M,notalk,notalk,0,13000000,16757163,16757163,1998FAIL,18578720,23948203,23948203,4,3,,
2006,tt0416449,300,Zack Snyder,M,Zack Snyder,M,Gerard Butler,M,nowomen-disagree,nowomen,0,60000000,210614939,454161935,2006FAIL,69347781,243427977,524918705,2,2,,
2007,tt0450385,1408,Mikael Håfström,M,Matt Greenberg,M,John Cusack,M,ok,ok,1,22500000,71985628,131263370,2007PASS,25279728,80878983,147480104,2,2,,
2009,tt1190080,2012,Roland Emmerich,M,Roland Emmerich,M,John Cusack,M,notalk-disagree,notalk,0,200000000,166112167,788408539,2009FAIL,217146319,180353228,856000062,2,2,,
2004,tt0212712,2046,Kar-Wai Wong,M,Kar-Wai Wong,M,Tony Chiu-Wai Leung,M,ok,ok,1,12000000,1442338,19202856,2004PASS,14798315,1778681,23680825,3,2,,
2009,tt1022603,(500) Days of Summer,Marc Webb,M,Scott Neustadter,M,Zooey Deschanel,F,notalk-disagree,notalk,0,7500000,32391374,60803210,2009FAIL,8142987,35168338,66015966,2,2,,
1999,tt0147800,10 Things I Hate About You,Gil Junger,M,Karen McCullah,F,Heath Ledger,M,ok,ok,1,13000000,38177966,60414025,1999PASS,18180006,53390436,84486720,4,3,,
2013,tt2024544,12 Years a Slave,Steve McQueen,M,John Ridley,M,Chiwetel Ejiofor,M,notalk-disagree,notalk,0,20000000,53107035,158607035,2013FAIL,20000000,53107035,158607035,1,1,,
2010,tt1542344,127 Hours,Danny Boyle,M,Danny Boyle,M,James Franco,M,dubious-disagree,dubious,0,18000000,18335230,60735230,2010FAIL,19228173,19586277,64879307,1,1,,
2004,tt0337563,13 Going on 30,Gary Winick,M,Josh Goldsmith,M,Jennifer Garner,F,ok,ok,1,30000000,57139723,96439723,2004PASS,36995786,70464299,118928779,3,2,,
2009,tt0974661,17 Again,Burr Steers,M,Jason Filardi,M,Zac Efron,M,ok-disagree,ok,1,40000000,64167069,139474906,2009PASS,43429264,69668214,151432312,2,2,,
2003,tt0322259,2 Fast 2 Furious,John Singleton,M,Gary Scott Thompson,M,Paul Walker,M,notalk,notalk,0,76000000,127120058,236220058,2003FAIL,96222609,160945047,299075134,3,2,,
2013,tt1272878,2 Guns,Baltasar Kormákur,M,Blake Masters,M,Denzel Washington,M,notalk,notalk,0,61000000,75612460,132493015,2013FAIL,61000000,75612460,132493015,1,1,,
2013,tt1711425,21 & Over,Jon Lucas,M,Jon Lucas,M,Miles Teller,M,notalk,notalk,0,13000000,25682380,42195766,2013FAIL,13000000,25682380,42195766,1,1,,
2003,tt0315733,21 grams,Alejandro G. Iñárritu,M,Guillermo Arriaga,M,Sean Penn,M,dubious,dubious,0,20000000,16248701,59667625,2003FAIL,25321739,20572268,75544402,3,2,,
2002,tt0307901,25th Hour,Spike Lee,M,David Benioff,M,Edward Norton,M,men,men,0,4500000,13084595,25344490,2002FAIL,5828306,16946895,32825657,3,2,,
2000,tt0191754,28 Days,Betty Thomas,F,Susannah Grant,F,Sandra Bullock,F,ok,ok,1,43000000,37035515,62063972,2000PASS,58175060,50105659,83966868,3,2,,
2002,tt0289043,28 Days Later...,Danny Boyle,M,Alex Garland,M,Cillian Murphy,M,ok,ok,1,8000000,45064915,82955633,2002PASS,10361434,58367141,107442412,3,2,,
2007,tt0463854,28 Weeks Later,Juan Carlos Fresnadillo,M,Rowan Joffe,M,Jeremy Renner,M,ok,ok,1,15000000,28638916,64232714,2007PASS,16853152,32177067,72168247,2,2,,
2007,tt0381849,3:10 to Yuma,James Mangold,M,Halsted Welles,M,Russell Crowe,M,nowomen,nowomen,0,48000000,53606916,71171825,2007FAIL,53930087,60229701,79964640,2,2,,
2007,tt0389722,30 Days of Night,David Slade,M,Steve Niles,M,Josh Hartnett,M,men,men,0,30000000,39568996,80276156,2007FAIL,33706305,44457488,90193752,2,2,,
2011,tt1622547,30 Minutes or Less,Ruben Fleischer,M,Michael Diliberti,M,Jesse Eisenberg,M,notalk,notalk,0,28000000,37053924,40966716,2011FAIL,28999342,38376408,42428850,1,1,,
2013,tt1335975,47 Ronin,John Frankenheimer,M,J.D. Zeik,M,Robert De Niro,M,men,men,0,225000000,38362475,145803842,2013FAIL,225000000,38362475,145803842,1,1,,
2004,tt0343660,50 First Dates,Peter Segal,M,George Wing,M,Adam Sandler,M,men-disagree,men,0,75000000,120776832,196324496,2004FAIL,92489466,148941129,242105970,3,2,,
2011,tt1306980,50/50,Jonathan Levine,M,Will Reiser,M,Joseph Gordon-Levitt,M,men-disagree,men,0,8000000,35016118,41334735,2011FAIL,8285526,36265871,42810004,1,1,,
2002,tt0298203,8 Mile,Curtis Hanson,M,Scott Silver,M,Eminem,M,notalk,notalk,0,41000000,116724075,242924075,2002FAIL,53102348,151178596,314630213,3,2,,
2007,tt0411061,88 Minutes,Jon Avnet,M,Gary Scott Thompson,M,Al Pacino,M,notalk,notalk,0,30000000,16930884,32955399,2007FAIL,33706305,19022584,37026824,2,2,,
1999,tt0134273,8MM,Joel Schumacher,M,Andrew Kevin Walker,M,Nicolas Cage,M,notalk,notalk,0,40000000,36443442,96398826,1999FAIL,55938481,50964770,134810098,4,3,,
2001,tt0268978,A Beautiful Mind,Ron Howard,M,Akiva Goldsman,M,Russell Crowe,M,notalk,notalk,0,78000000,170708996,317668058,2001FAIL,102635985,224626742,418002230,3,2,,
1977,tt0075784,A Bridge Too Far,Richard Attenborough,M,William Goldman,M,Dirk Bogarde,M,notalk,notalk,0,26000000,50800000,50800000,1977FAIL,99921804,195231833,195231833,,,,
1998,tt0120623,A Bug's Life,John Lasseter,M,John Lasseter,M,Kevin Spacey,M,ok,ok,1,45000000,162798565,363095319,1998PASS,64310954,232660690,518911253,4,3,,
2004,tt0356470,A Cinderella Story,Mark Rosman,M,Leigh Dunlap,F,Hilary Duff,F,ok,ok,1,19000000,51438175,70067909,2004PASS,23430665,63433191,86407246,3,2,,
2011,tt1571222,A Dangerous Method,David Cronenberg,M,Christopher Hampton,M,Michael Fassbender,M,dubious,dubious,0,20000000,5702083,14807531,2011FAIL,20713816,5905595,15336023,1,1,,
1992,tt0104257,A Few Good Men,Rob Reiner,M,Aaron Sorkin,M,Tom Cruise,M,notalk,notalk,0,33000000,141340178,236500000,1992FAIL,54791459,234673774,392672121,5,3,,
2013,tt1606378,A Good Day to Die Hard,John Moore,M,Skip Woods,M,Bruce Willis,M,notalk,notalk,0,92000000,67349198,304249198,2013FAIL,92000000,67349198,304249198,1,1,,
2004,tt0359423,A Home at the End of The World,Michael Mayer,M,Michael Cunnigham,M,Colin Farrell,M,dubious,dubious,0,6500000,1029017,1033810,2004FAIL,8015754,1268976,1274887,3,2,,
2001,tt0183790,A Knight's Tale,Brian Helgeland,M,Brian Helgeland,M,Heath Ledger,M,men,men,0,41000000,56083966,100622586,2001FAIL,53949684,73797860,132403823,3,2,,
1992,tt0104694,A League of Their Own,Penny Marshall,F,Kim Wilson,M,Tom Hanks,M,ok,ok,1,40000000,107533925,132440066,1992PASS,66413889,178543655,219896498,5,3,,
1984,tt0087800,A nightmare on Elm Street,Wes Craven,M,Wes Craven,M,Heather Langenkamp,F,men-disagree,men,0,35000000,63075011,117729621,1984FAIL,78450540,141379105,263884353,,,,
2009,tt0971209,A Perfect Getaway,David Twohy,M,David Twohy,M,Milla Jovovich,F,dubious-disagree,dubious,0,14000000,15515460,22815460,2009FAIL,15200242,16845625,24771466,2,2,,
2006,tt0405296,A Scanner Darkly,Richard Linklater,M,Philip K. Dick,M,Keanu Reeves,M,notalk,notalk,0,20000000,5501616,7405084,2006FAIL,23115927,6358748,8558769,2,2,,
2009,tt1019452,A Serious Man,Ethan Coen,M,Joel Coen,M,Michael Stuhlbarg,M,men,men,0,7000000,9228788,30360570,2009FAIL,7600121,10019987,32963430,2,2,,
1997,tt0120133,A Simple Wish,Michael Ritchie,M,Jeff Rothberg,M,Martin Short,M,ok,ok,1,28000000,8165213,8165213,1997PASS,40634668,11849668,11849668,4,3,,
2009,tt1315981,A Single Man,Tom Ford,M,Christopher Isherwood,M,Colin Firth,M,notalk,notalk,0,7000000,9176000,28142379,2009FAIL,7600121,9962673,30555070,2,2,,
2011,tt1268799,A Very Harold & Kumar 3D Christmas,Todd Strauss-Schulson,M,John Hurwitz,M,Kal Penn,M,notalk,notalk,0,20000000,35061031,36265745,2011FAIL,20713816,36312387,37560098,1,1,,
2004,tt0344510,A Very Long Engagement,Jean-Pierre Jeunet,M,Jean-Pierre Jeunet,M,Audrey Tautou,F,ok,ok,1,55000000,6167817,59606587,2004PASS,67825608,7606108,73506419,3,2,,
2002,tt0257360,About Schmidt,Alexander Payne,M,Louis Begley,M,Jack Nicholson,M,notalk,notalk,0,30000000,65005217,105823486,2002FAIL,38855376,84193406,137060380,3,2,,
2013,tt2194499,About Time,Richard Curtis,M,Richard Curtis,M,Domhnall Gleeson,M,ok-disagree,ok,1,12000000,15323921,87324746,2013PASS,12000000,15323921,87324746,1,1,,
2012,tt1611224,Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,M,Seth Grahame-Smith,M,Benjamin Walker,M,dubious-disagree,dubious,0,67500000,37519139,115119139,2012FAIL,68488103,38068365,116804318,1,1,,
1994,tt0109040,Ace Ventura: Pet Detective,Tom Shadyac,M,Jack Bernstein,M,Jim Carrey,M,men,men,0,12000000,72217396,107217396,1994FAIL,18859976,113501532,168509796,5,3,,
2007,tt0445922,Across the Universe,Julie Taymor,F,Dick Clement,M,Evan Rachel Wood,M,ok,ok,1,45000000,24343673,29367143,2007PASS,50559457,27351175,32995262,2,2,,
2012,tt1591479,Act of Valor,Mike McCoy,M,Kurt Johnstad,M,Alex Veadov,M,nowomen,nowomen,0,12000000,70012847,82497035,2012FAIL,12175663,71037735,83704673,1,1,,
1988,tt0094612,Action Jackson,Craig R. Baxley,M,Robert Reneau,M,Carl Weathers,M,notalk,notalk,0,7000000,20257000,20257000,1988FAIL,13787529,39899139,39899139,,,,
2009,tt1185836,Adam,Max Mayer,M,Max Mayer,M,Hugh Dancy,M,men,men,0,3200000,2277396,2828590,2009FAIL,3474341,2472641,3071090,2,2,,
2002,tt0268126,Adaptation,Spike Jonze,M,Susan Orlean,F,Nicolas Cage,M,dubious,dubious,0,18500000,22498520,22498520,2002FAIL,23960815,29139615,29139615,3,2,,
2013,tt1814621,Admission,Paul Weitz,M,Jean Hanff Korelitz,F,Tina Fey,F,ok,ok,1,13000000,18007317,18007317,2013PASS,13000000,18007317,18007317,1,1,,
2009,tt1091722,Adventureland,Greg Mottola,M,Greg Mottola,M,Jesse Eisenberg,M,men-disagree,men,0,9800000,16044025,17144025,2009FAIL,10640170,17419505,18613810,2,2,,
2005,tt0402022,AEon Flux,Karyn Kusama,F,Phil Hay,M,Charlize Theron,F,ok,ok,1,55000000,25857987,47953341,2005PASS,65616822,30849435,57209924,2,2,,
2013,tt1815862,After Earth,M. Night Shyamalan,M,Gary Whitta,M,Jaden Smith,M,notalk,notalk,0,130000000,60522097,244373198,2013FAIL,130000000,60522097,244373198,1,1,,
2009,tt1186830,Agora,Alejandro Amenábar,M,Alejandro Amenábar,M,Rachel Weisz,F,notalk,notalk,0,70000000,619423,38992292,2009FAIL,76001212,672527,42335163,2,2,,
1997,tt0118570,Air Bud,Charles Martin Smith,M,Kevin DiCicco,M,Michael Jeter,M,notalk,notalk,0,3000000,24646936,27788649,1997FAIL,4353714,35768573,40327947,4,3,,
1997,tt0118571,Air Force One,Wolfgang Petersen,M,Andrew W. Marlowe,M,Harrison Ford,M,notalk,notalk,0,85000000,172956409,315268353,1997FAIL,123355241,251000935,457529453,4,3,,
1980,tt0080339,Airplane!,Jim Abrahams,M,Jim Abrahams,M,Robert Hays,M,dubious,dubious,0,3500000,83453539,83453539,1980FAIL,9897188,235987236,235987236,,,,
